i dont know honey its horrible 	shes punishing me for being honest __name__ should just go to her house 
maybe you need to look at this as __name__ sign to move on just make __name__ clean break 	i dont know im so __name__ cant believe shed be so goddamn immature 
you werent supposed to see that 	they cant erase memories its __name__ joke its __name__ nasty clementine hoax 
you werent supposed to see that  _eou_ they cant erase memories its __name__ joke its __name__ nasty clementine hoax 	sweetie we called the company 
thanks guys 	i hope you feel better sweetie 
thanks guys  _eou_ i hope you feel better sweetie 	yeah 
thanks guys  _eou_ i hope you feel better sweetie  _eou_ yeah 	say hi to naomi 
im sorry naomi couldnt make it you okay you seem quiet 	just __name__ little overworked maybe 
who was the girl you walked off with 	no one 
shit the last time __name__ saw you 	anyhoo sweetie __name__ done __name__ bad thing __name__ kinda sorta wrecked your car 
no it was lovely 	hi joel so no jokes about my name 
may __name__ help you 	yeah hi __name__ have __name__ one oclock with dr mierzwiak clementine kruczynski 
may __name__ help you  _eou_ yeah hi __name__ have __name__ one oclock with dr mierzwiak clementine kruczynski 	yes please have __name__ seat hell be right with you 
ms kruczynski 	hi 
how are you today 	okay __name__ guess 
how are you today  _eou_ okay __name__ guess 	here we are 
i just thought id say hi __name__ was in the neighborhood 	you were not 
i just thought id say hi __name__ was in the neighborhood  _eou_ you were not 	i was not 
come over after im done here 	i cant __name__ want to but __name__ have to study 
come over after im done here  _eou_ i cant __name__ want to but __name__ have to study 	you rat 
come over after im done here  _eou_ i cant __name__ want to but __name__ have to study  _eou_ you rat 	i really want to but tonights important test tomorrow 
its so cool youre by far the most sensational person in the room 	in the room 
its so cool youre by far the most sensational person in the room  _eou_ in the room 	in the world 
come up to boston with me 	sure well go next weekend and 
come up to boston with me  _eou_ sure well go next weekend and 	now now __name__ have to go now __name__ have to see the frozen charles now tonight 
come up to boston with me  _eou_ sure well go next weekend and  _eou_ now now __name__ have to go now __name__ have to see the frozen charles now tonight 	um okay ill call my study partner 
come up to boston with me  _eou_ sure well go next weekend and  _eou_ now now __name__ have to go now __name__ have to see the frozen charles now tonight  _eou_ um okay ill call my study partner 	yay itll be great ill get my shit 
im so excited yay 	im excited too oh and __name__ wanted to give you this its __name__ little thing 
whats wrong with me 	nothing is wrong with you youre the most wonderful person ive ever met 
how are you today 	okay __name__ guess 
how are you today  _eou_ okay __name__ guess 	well why dont you tell me whats going on do you mind if __name__ turn this on 
well ive been having __name__ bad time of it with um my boyfriend __name__ guess 	you guess hes your boyfriend or you guess youre having __name__ bad time with him 
well ive been having __name__ bad time of it with um my boyfriend __name__ guess  _eou_ you guess hes your boyfriend or you guess youre having __name__ bad time with him 	what no __name__ dont like the term boyfriend its so gay 
im sorry 	why 
im sorry  _eou_ why 	why what 
im sorry  _eou_ why  _eou_ why what 	why are you sorry __name__ just said hi 
im sorry  _eou_ why  _eou_ why what  _eou_ why are you sorry __name__ just said hi 	no __name__ didnt know if you were talking to me so 
really 	well __name__ didnt want to assume 
really  _eou_ well __name__ didnt want to assume 	aw cmon live dangerously take the leap and assume someone is talking to you in an otherwise empty car 
really  _eou_ well __name__ didnt want to assume  _eou_ aw cmon live dangerously take the leap and assume someone is talking to you in an otherwise empty car 	anyway sorry hi 
hi __name__ could give you __name__ ride if you need 	no thats okay thanks though 
hi __name__ could give you __name__ ride if you need  _eou_ no thats okay thanks though 	youre sure its cold 
hi __name__ could give you __name__ ride if you need  _eou_ no thats okay thanks though  _eou_ youre sure its cold 	i dont want to take you out of your way 
hi __name__ could give you __name__ ride if you need  _eou_ no thats okay thanks though  _eou_ youre sure its cold  _eou_ i dont want to take you out of your way 	its okay 
