winner six 	how much is that 
winner six  _eou_ how much is that 	two hundred thousand 
winner six  _eou_ how much is that  _eou_ two hundred thousand 	two hundred thousand dollars who wants __name__ hundred dollars 
invitation please 	im with the band im the lead singer 
invitation please  _eou_ im with the band im the lead singer 	the band has been playing over an hour 
invitation please  _eou_ im with the band im the lead singer  _eou_ the band has been playing over an hour 	i got held up at __name__ wedding in tai koo ricky here yet __name__ need to get his requests 
i knew it the guys name is zing he works at the kitchen at reign plaza 	all right kenny thanks youre off the hook for now 
you see no bomb now stay away before __name__ throw you both in jail for obstruction 	throw us in jail im about to bust you right now 
you see no bomb now stay away before __name__ throw you both in jail for obstruction  _eou_ throw us in jail im about to bust you right now 	im an undercover agent for the united states secret service 
you see no bomb now stay away before __name__ throw you both in jail for obstruction  _eou_ throw us in jail im about to bust you right now  _eou_ im an undercover agent for the united states secret service 	how do we know youre not lying let me see your badge 
yeah thats right 	we need to get out of sight come down to my suite 
yeah thats right  _eou_ we need to get out of sight come down to my suite 	look ive been working this case for months now 
yeah thats right  _eou_ we need to get out of sight come down to my suite  _eou_ look ive been working this case for months now 	so whats your story 
yeah thats right  _eou_ we need to get out of sight come down to my suite  _eou_ look ive been working this case for months now  _eou_ so whats your story 	they think im __name__ crooked customs agent 
lets go ive got girls and chicken and hot oil waiting for me 	i dont think so 
id like to pay you for that laptop 	its no problem but __name__ must excuse myself inspector 
id like to pay you for that laptop  _eou_ its no problem but __name__ must excuse myself inspector 	thats chief inspector he got promoted 
could you have your partner wait for us outside 	i aint his partner im __name__ tourist __name__ got proof see __name__ got __name__ mini bar key 
would you like me to tell you how your father died 	lee you okay 
oh you american 	thats right 
oh you american  _eou_ thats right 	you bring american money 
oh you american  _eou_ thats right  _eou_ you bring american money 	never leave home without it lee this ones on me you save your money 
you get massage from chinese girl before 	no its my first time 
you get massage from chinese girl before  _eou_ no its my first time 	you pick any girl for you and your friend 
thats what im talking about __name__ real hong kong night club you want an altoid 	no 
thats what im talking about __name__ real hong kong night club you want an altoid  _eou_ no 	you better take one your breath has been __name__ little funky all day let me look at you 
just relax and dont worry about __name__ thing ill hook you up in there you got condoms 	no 
just relax and dont worry about __name__ thing ill hook you up in there you got condoms  _eou_ no 	take this its __name__ magnum you can fold it in half 
carter get off that stage 	are you kidding they love me im __name__ star lee __name__ god to these people 
whatd __name__ say 	you just said youre their worst nightmare and to line their mothers up for __name__ milking 
whatd __name__ say  _eou_ you just said youre their worst nightmare and to line their mothers up for __name__ milking 	shit cmon get up here and help me out 
all __name__ wanted was __name__ little mu shu 	try to land on your feet 
and thats how you use the lapd choke hold now start practicing and dont make me come back here 	carter you ready to have some fun 
just follow my lead and act like __name__ tourist 	i am __name__ tourist 
hello 	how you doin 
hello  _eou_ how you doin 	my friend is on vacation from america __name__ want to show him __name__ good time 
what are you doing 	she said __name__ could pick any girl __name__ want 
what are you doing  _eou_ she said __name__ could pick any girl __name__ want 	well hurry up 
what are you doing  _eou_ she said __name__ could pick any girl __name__ want  _eou_ well hurry up 	hey you dont break in front of __name__ black man in __name__ buffet line 
