something happened you got nuked in the last quarter 	yeah my knee got folded about 90 degrees the wrong way 
something happened you got nuked in the last quarter  _eou_ yeah my knee got folded about 90 degrees the wrong way 	and thats why you never went pro 
something happened you got nuked in the last quarter  _eou_ yeah my knee got folded about 90 degrees the wrong way  _eou_ and thats why you never went pro 	two years of surgery __name__ missed my window limped through law school instead 
something happened you got nuked in the last quarter  _eou_ yeah my knee got folded about 90 degrees the wrong way  _eou_ and thats why you never went pro  _eou_ two years of surgery __name__ missed my window limped through law school instead 	mmm __name__ lawyer huh too bad but at least youre surfing now so your lifes not over yet right 
something happened you got nuked in the last quarter  _eou_ yeah my knee got folded about 90 degrees the wrong way  _eou_ and thats why you never went pro  _eou_ two years of surgery __name__ missed my window limped through law school instead  _eou_ mmm __name__ lawyer huh too bad but at least youre surfing now so your lifes not over yet right 	not yet 
gonna be some people at my house tonight maybe you can make it 	where 
gonna be some people at my house tonight maybe you can make it  _eou_ where 	come with tyler she knows 
dont you gamble 	only make bets __name__ cant afford to lose only way to be 100 committed 
so whats the biggest waimea 	no bells beach australia 
i gotta be fucking crazy 	yeah but are you crazy enough 
its __name__ little ceremony we always have at the end of summer one last speedstar 	so who uh who packed my chute 
its __name__ little ceremony we always have at the end of summer one last speedstar  _eou_ so who uh who packed my chute 	i did whats the matter dont trust me 
its __name__ little ceremony we always have at the end of summer one last speedstar  _eou_ so who uh who packed my chute  _eou_ i did whats the matter dont trust me 	you gotta earn trust 
its __name__ little ceremony we always have at the end of summer one last speedstar  _eou_ so who uh who packed my chute  _eou_ i did whats the matter dont trust me  _eou_ you gotta earn trust 	then well earn it together here take mine 
we gonna jump or jerk off 	my man 
utah you copy bruddah 	whoooaaah shhiiittt whoooaaah 
utah you copy bruddah  _eou_ whoooaaah shhiiittt whoooaaah 	ill take that as __name__ yes 
you gonna pull 	after you alfonse __name__ insist 
dont screw around man pull it 	you do it you first 
dont screw around man pull it  _eou_ you do it you first 	one thousand feet pull the goddamn cord 
dont screw around man pull it  _eou_ you do it you first  _eou_ one thousand feet pull the goddamn cord 	you first 
dont screw around man pull it  _eou_ you do it you first  _eou_ one thousand feet pull the goddamn cord  _eou_ you first 	okay 
whats this 	insurance policy now this is going to sting __name__ bit but its for your own growth brah press play 
were wasting time 	see thats what __name__ like about you man youre just sharp as __name__ razor blade 
im not armed 	but youre not alone 
im not armed  _eou_ but youre not alone 	good guess theres __name__ gun on you right now 
pretty radical johnny even for you why dont you pull it 	no games bodhi pull the cord now 
pretty radical johnny even for you why dont you pull it  _eou_ no games bodhi pull the cord now 	naw you pull it 
three seconds two one 	shit 
wild ride huh 	jesus christ bodhi 
and __name__ always knew __name__ could count on you agent utah 	im not fbi anymore 
and __name__ always knew __name__ could count on you agent utah  _eou_ im not fbi anymore 	you never were 
