but danny if hashem is everything and we are nothing how are we to judge his actions 	we have free will and intelligence which god allegedly gave us 
they only kill them when they love them 	what are you doing here __name__ thought you were __name__ nazi 
 so she takes the pants in back where they try them on and __name__ think fuck it 	are you shitting me right in the store 
 so she takes the pants in back where they try them on and __name__ think fuck it  _eou_ are you shitting me right in the store 	shes been giving me the eye shes hot so __name__ wait till the owner goes up front 
fucking danny man 	hes an asshole 
bring your friends were not his friends 	then __name__ wont bring you 
what do you like it here 	read __name__ mein kampf /i hitler had all his best ideas in prison 
you coming 	well go to the country sometime okay 
do we have to listen to this shit 	yes 
do we have to listen to this shit  _eou_ yes 	whyd we have to leave so fast 
what do you care 	i dont but 
what do you care  _eou_ i dont but 	lets look at the fucking thing 
yeah but not on the letters 	why the fuck not 
yeah but not on the letters  _eou_ why the fuck not 	just dont 
which is what 	at first no one will know why the victims are being killed 
youre not in school what do you do 	i work at the big boy warehouse in queens __name__ drive __name__ fork lift 
youre not in school what do you do  _eou_ i work at the big boy warehouse in queens __name__ drive __name__ fork lift 	whered you read all that stuff 
youre not in school what do you do  _eou_ i work at the big boy warehouse in queens __name__ drive __name__ fork lift  _eou_ whered you read all that stuff 	i just read it 
why no silencer 	you want it to be an event 
you think people ever commit suicide out of happiness 	thats stupid why would they 
youre not like the others are you your friends 	yes __name__ am basically __name__ am 
i bet he didnt realize that nobody who talks such __name__ good game ever plays one 	you werent complaining about my play last time 
too many good players down here im with one right now 	oh really 
too many good players down here im with one right now  _eou_ oh really 	bigger and better 
too many good players down here im with one right now  _eou_ oh really  _eou_ bigger and better 	then how come youre talking to me 
whos linda 	why wont you talk to me 
whos linda  _eou_ why wont you talk to me 	im talking to you right now whos linda 
when can __name__ see you 	you cant 
your father 	hes at __name__ home out here 
im coming to your room tonight 	no 
whered you get this 	i stole it from __name__ synagogue 
put something on youre not supposed to be naked in front of it 	why not 
put something on youre not supposed to be naked in front of it  _eou_ why not 	they think its the word of god and its holy and the flesh isnt 
put something on youre not supposed to be naked in front of it  _eou_ why not  _eou_ they think its the word of god and its holy and the flesh isnt 	thats stupid 
put something on youre not supposed to be naked in front of it  _eou_ why not  _eou_ they think its the word of god and its holy and the flesh isnt  _eou_ thats stupid 	yeah its stupid put it on or __name__ wont teach you 
no __name__ think you shouldnt 	judaism doesnt even need god you have the torah the law thats your fucking god the books closed 
youre learning the hebrew really fast 	i told you im good at this 
youre learning the hebrew really fast  _eou_ i told you im good at this 	plus you have nothing else to do all day 
youre learning the hebrew really fast  _eou_ i told you im good at this  _eou_ plus you have nothing else to do all day 	oh am __name__ learning it faster than you did maybe im smarter 
what you think im jewish 	its all you talk about jewish jewish jewish nobody talks about it that much except the jews 
nazis talk about it all the time 	do they 
you cant do you know how many people ive brought into the movement 	lina come here 
miriam called looking for you she said you might come so __name__ 	you gotta get out of here 
miriam called looking for you she said you might come so __name__  _eou_ you gotta get out of here 	you dont own this place 
thats __name__ much easier game 	why dont you come visit well have __name__ rematch 
i thought there were people here 	ill go look 
whos eichmann 	whos eichmann 
shema yisrael adonai elohenu adonai echod 	whatd you say 
shema yisrael adonai elohenu adonai echod  _eou_ whatd you say 	nothing lets go 
why are you taking that 	im stealing it 
