polacks and deadbeats 	 polacks 
polacks and deadbeats  _eou_  polacks 	deadbeats all 
polacks and deadbeats  _eou_  polacks  _eou_ deadbeats all 	 they hold on to their money 
polacks and deadbeats  _eou_  polacks  _eou_ deadbeats all  _eou_  they hold on to their money 	all of em they hey it happens to us all 
polacks and deadbeats  _eou_  polacks  _eou_ deadbeats all  _eou_  they hold on to their money  _eou_ all of em they hey it happens to us all 	where am __name__ going to work 
its not 	no 
something to pay them back someone someone should hurt them murray and mitch 	someone should hurt them 
something to pay them back someone someone should hurt them murray and mitch  _eou_ someone should hurt them 	yes 
something to pay them back someone someone should hurt them murray and mitch  _eou_ someone should hurt them  _eou_ yes 	how 
something to pay them back someone someone should hurt them murray and mitch  _eou_ someone should hurt them  _eou_ yes  _eou_ how 	how do something to hurt them where they live 
something to pay them back someone someone should hurt them murray and mitch  _eou_ someone should hurt them  _eou_ yes  _eou_ how  _eou_ how do something to hurt them where they live 	what 
so all this um you didnt actually you didnt go talk to graff 	not actually no 
you didnt 	no not actually 
you didnt  _eou_ no not actually 	did you 
you didnt  _eou_ no not actually  _eou_ did you 	what did you say 
you didnt  _eou_ no not actually  _eou_ did you  _eou_ what did you say 	yes __name__ said not actually the fuck you care george were just talking 
you didnt  _eou_ no not actually  _eou_ did you  _eou_ what did you say  _eou_ yes __name__ said not actually the fuck you care george were just talking 	we are 
because because you know its __name__ crime 	thats right its __name__ crime it is __name__ crime its also very safe 
because because you know its __name__ crime  _eou_ thats right its __name__ crime it is __name__ crime its also very safe 	youre actually talking about this 
because because you know its __name__ crime  _eou_ thats right its __name__ crime it is __name__ crime its also very safe  _eou_ youre actually talking about this 	thats right 
youre going to steal the leads 	have __name__ said that 
did __name__ say that 	did you talk to graff 
did __name__ say that  _eou_ did you talk to graff 	is that what __name__ said 
did __name__ say that  _eou_ did you talk to graff  _eou_ is that what __name__ said 	what did he say 
did __name__ say that  _eou_ did you talk to graff  _eou_ is that what __name__ said  _eou_ what did he say 	what did he say hed buy them 
a job with graff 	is that what __name__ said 
a job with graff  _eou_ is that what __name__ said 	hed give me __name__ job 
a job with graff  _eou_ is that what __name__ said  _eou_ hed give me __name__ job 	he would take you on yes 
me 	you have to go in you have to get the leads 
dave 	yes 
dave  _eou_ yes 	you want me to break into the office tonight and steal the leads 
dave  _eou_ yes  _eou_ you want me to break into the office tonight and steal the leads 	yes 
and why is that 	because you listened 
can we get some coffee 	how ya doing 
fine 	uh huh 
fine  _eou_ uh huh 	if anyones going __name__ could use some coffee 
i you know they should be insured 	what do you care 
you think theyre going to catch where are you going 	down the street 
were the leads 	 what am __name__ going to do all month 
were the leads  _eou_  what am __name__ going to do all month 	were the leads insured 
he said were all going to have to go talk to the guy 	what 
will you excuse 	where did moss __name__ 
will you excuse  _eou_ where did moss __name__ 	will you excuse us please 
will you excuse  _eou_ where did moss __name__  _eou_ will you excuse us please 	uh uh did he go to the restaurant __name__ i 
did the leads come in yet 	no 
did the leads come in yet  _eou_ no 	oh god __name__ hate this job 
did the leads come in yet  _eou_ no  _eou_ oh god __name__ hate this job 	ill be at the restaurant /pre /html 
read it bruce and harriett nyborg what happened here 	fuck __name__ had them on river glen 
shelly the machine levene 	you 
shelly the machine levene  _eou_ you 	thats great 
shelly the machine levene  _eou_ you  _eou_ thats great 	thank you george 
wh wh wha 	we had __name__ robbery 
 how can you talk to me that that 	rick im going to flag __name__ cab 
 how can you talk to me that that  _eou_ rick im going to flag __name__ cab 	i didnt rob 
who used to say that 	in school 
i um and may maybe theyre in theyre in you should john if were ins 	im sure that were insured george 
i dont know george why 	cause you know cause they werent __name__ know that mitch and murray uh 
what 	that theyre going to be upset 
what  _eou_ that theyre going to be upset 	thats right you want to go out today 
shelly get in the office 	i didnt why should __name__ where were you last is anybody listening to me wheres moss where 
mmm 	did they find the guy who broke into the office yet 
williamson williamson they stole the contracts 	excuse me sir 
williamson williamson they stole the contracts  _eou_ excuse me sir 	did they get my contracts 
excuse me fella 	 did they 
